Ederson,29,Goalkeeper,Brazil,ManchesterCity,45
Carson,37,Goalkeeper,England,ManchesterCity,0.25
Dias,25,Centre-Back,Portugal,ManchesterCity,75
Aké,28,Centre-Back,Netherlands,ManchesterCity,35
Stones,28,Centre-Back,England,ManchesterCity,30
Laporte,28,Centre-Back,Spain,ManchesterCity,30
Akanji,27,Centre-Back,Switzerland,ManchesterCity,30
Gómez,22,Left-Back,SpainU21,ManchesterCity,15
Mendy,28,Left-Back,France,ManchesterCity,25
Walker,32,Right-Back,England,ManchesterCity,15
Lewis,18,Right-Back,EnglandU21,ManchesterCity,15
Rodri,26,DefensiveMidfield,Spain,ManchesterCity,80
Phillips,27,DefensiveMidfield,England,ManchesterCity,35
Perrone,20,DefensiveMidfield,Argentina,ManchesterCity,10
Gündogan,32,CentralMidfield,Germany,ManchesterCity,25
DeBruyne,31,AttackingMidfield,Belgium,ManchesterCity,80
Silva,28,AttackingMidfield,Portugal,ManchesterCity,80
Palmer,20,AttackingMidfield,EnglandU21,ManchesterCity,15
Foden,22,LeftWinger,England,ManchesterCity,110
Grealish,27,LeftWinger,England,ManchesterCity,70
Mahrez,32,RightWinger,Algeria,ManchesterCity,30
Haaland,22,Centre-Forward,Norway,ManchesterCity,170
Álvarez,23,Centre-Forward,Argentina,ManchesterCity,50
Mendy,31,Goalkeeper,Senegal,ChelseaFC,18
Arrizabalaga,28,Goalkeeper,Spain,ChelseaFC,15
Slonina,18,Goalkeeper,USAU20,ChelseaFC,8
Bettinelli,30,Goalkeeper,England,ChelseaFC,2
Fofana,22,Centre-Back,FranceU21,ChelseaFC,65
Badiashile,21,Centre-Back,FranceU21,ChelseaFC,40
Koulibaly,31,Centre-Back,Senegal,ChelseaFC,25
Chalobah,23,Centre-Back,EnglandU21,ChelseaFC,22
Silva,38,Centre-Back,Brazil,ChelseaFC,2.5
Cucurella,24,Left-Back,Spain,ChelseaFC,40
Chilwell,26,Left-Back,England,ChelseaFC,35
Hall,18,Left-Back,EnglandU19,ChelseaFC,8
James,23,Right-Back,England,ChelseaFC,70
Azpilicueta,33,Right-Back,Spain,ChelseaFC,8
Kanté,31,DefensiveMidfield,France,ChelseaFC,20
Zakaria,26,DefensiveMidfield,Switzerland,ChelseaFC,20
Fernández,22,CentralMidfield,Argentina,ChelseaFC,85
Kovacic,28,CentralMidfield,Croatia,ChelseaFC,40
Gallagher,23,CentralMidfield,England,ChelseaFC,32
Loftus-Cheek,27,CentralMidfield,England,ChelseaFC,25
Chukwuemeka,19,CentralMidfield,EnglandU20,ChelseaFC,15
Mount,24,AttackingMidfield,England,ChelseaFC,65
Havertz,23,AttackingMidfield,Germany,ChelseaFC,60
Mudryk,22,LeftWinger,Ukraine,ChelseaFC,60
